Jobs_per_ 1Minute,Jobs_per_ 5 Minutes,Jobs_per_ 15Minutes,Mem capacity,Disk_capacity_GB,Num_of_CPU_Cores,CPU_speed_per_Core,Avg_Recieve_Kbps,Avg_Transmit_Kbps,Class_Name
5.182,5.636,6.364,12,128.72872,6,1,31.248,31.248,'Very Low'
4.1,5.5,6.5,12,128.72872,6,1,31.248,31.248,'Very Low'
4.818,5.727,6.545,12,128.72872,6,1,31.248,31.248,'Very Low'
5.182,5.727,6.545,12,128.72872,6,1,31.248,31.248,'Low'
4.9,6.4,7.2,12,128.72872,6,1,31.248,31.248,'Very Low'
6.636,8.273,9.0,12,128.72872,6,1,31.248,31.248,'Very Low'
8.0,8.455,9.273,12,128.72872,6,1,31.248,31.248,'Very Low'
6.2,7.6,8.6,12,128.72872,6,1,31.248,31.248,'Very Low'
10.091,12.0,13.636,12,128.72872,6,1,31.248,31.248,'Very Low'
15.3,14.5,14.6,12,128.72872,6,1,31.248,31.248,'Low'
14.273,15.909,16.364,12,128.72872,6,1,31.248,31.248,'Low'
12.6,13.0,14.1,12,128.72872,6,1,31.248,31.248,'Low'
12.545,13.727,14.727,12,128.72872,6,1,31.248,31.248,'Very Low'
15.364,14.545,13.727,12,128.72872,6,1,31.248,31.248,'Very Low'
9.3,9.5,9.6,12,128.72872,6,1,31.248,31.248,'Very Low'
6.636,7.545,8.091,12,128.72872,6,1,31.248,31.248,'Very Low'
7.273,6.455,6.545,12,128.72872,6,1,31.248,31.248,'Very Low'
4.0,5.1,5.8,12,128.72872,6,1,31.248,31.248,'Low'
4.545,5.364,6.0,12,128.72872,6,1,31.248,31.248,'Very Low'
4.182,4.909,5.727,12,128.72872,6,1,31.248,31.248,'Very Low'
4.2,4.8,5.4,12,128.72872,6,1,31.248,31.248,'Very Low'
3.818,4.727,5.364,12,128.72872,6,1,31.248,31.248,'Very Low'
7.182,8.545,10.455,12,128.72872,6,1,31.248,31.248,'Very Low'
4.636,5.091,5.727,12,128.72872,6,1,31.248,31.248,'Very Low'
4.9,5.4,5.7,12,128.72872,6,1,31.248,31.248,'Very Low'
3.545,5.182,5.818,12,128.72872,6,1,31.248,31.248,'Very Low'
6.3,7.4,8.1,12,128.72872,6,1,31.248,31.248,'Very Low'
6.182,8.273,9.0,12,128.72872,6,1,31.248,31.248,'Very Low'
8.545,8.091,8.364,12,128.72872,6,1,31.248,31.248,'Very Low'
6.5,8.4,9.6,12,128.72872,6,1,31.248,31.248,'Very Low'
9.455,10.182,11.091,12,128.72872,6,1,31.248,31.248,'Very Low'
11.182,10.818,11.0,12,128.72872,6,1,31.248,31.248,'Very Low'
9.6,10.9,12.2,12,128.72872,6,1,31.248,31.248,'Very Low'
10.909,12.364,13.091,12,128.72872,6,1,31.248,31.248,'Low'
15.6,13.5,14.3,12,128.72872,6,1,31.248,31.248,'Low'
15.273,16.545,16.091,12,128.72872,6,1,31.248,31.248,'Low'
9.909,9.909,10.182,12,128.72872,6,1,31.248,31.248,'Very Low'
7.8,8.3,8.4,12,128.72872,6,1,31.248,31.248,'Very Low'
5.0,5.909,6.364,12,128.72872,6,1,31.248,31.248,'Very Low'
4.545,5.091,5.909,12,128.72872,6,1,31.248,31.248,'Very Low'
4.4,5.2,6.1,12,128.72872,6,1,31.248,31.248,'Very Low'
4.545,5.545,6.182,12,128.72872,6,1,31.248,31.248,'Very Low'
6.1,5.6,6.1,12,128.72872,6,1,31.248,31.248,'Very Low'
7.636,9.545,11.545,12,128.72872,6,1,31.248,31.248,'Very Low'
10.6,9.0,7.8,12,128.72872,6,1,31.248,31.248,'Very Low'
4.0,5.0,5.909,12,128.72872,6,1,31.248,31.248,'Very Low'
6.182,5.545,5.818,12,128.72872,6,1,31.248,31.248,'Very Low'
3.6,4.6,5.2,12,128.72872,6,1,31.248,31.248,'Low'
4.455,4.818,5.727,12,128.72872,6,1,31.248,31.248,'Very Low'
6.2,7.2,7.8,12,128.72872,6,1,31.248,31.248,'Very Low'
6.0,7.455,8.909,12,128.72872,6,1,31.248,31.248,'Very Low'
16.7,13.9,13.3,12,128.72872,6,1,31.248,31.248,'Low'
9.909,10.273,10.909,12,128.72872,6,1,31.248,31.248,'Very Low'
